期間,株式コード,終値
1994/08/28,7203,2160
1994/09/04,7203,2110
1994/09/11,7203,2010
1994/09/18,7203,2050
1994/09/25,7203,2030
1994/10/02,7203,2070
1994/10/09,7203,2070
1994/10/16,7203,2110
1994/10/23,7203,2080
1994/10/30,7203,2110
1994/11/06,7203,2110
1994/11/13,7203,2120
1994/11/20,7203,2070
1994/11/27,7203,2100
1994/12/04,7203,2070
1994/12/11,7203,2060
1994/12/18,7203,2080
1994/12/25,7203,2100
1995/01/01,7203,2090
1995/01/08,7203,2070
1995/01/15,7203,1990
1995/01/22,7203,1920
1995/01/29,7203,1870
1995/02/05,7203,1850
1995/02/12,7203,1800
1995/02/19,7203,1740
1995/02/26,7203,1710
1995/03/05,7203,1660
1995/03/12,7203,1660
1995/03/19,7203,1630
1995/03/26,7203,1770
1995/04/02,7203,1700
1995/04/09,7203,1680
1995/04/16,7203,1740
1995/04/23,7203,1710
1995/04/30,7203,1730
1995/05/07,7203,1630
1995/05/14,7203,1670
1995/05/21,7203,1640
1995/05/28,7203,1680
1995/06/04,7203,1630
1995/06/11,7203,1620
1995/06/18,7203,1670
1995/06/25,7203,1680
1995/07/02,7203,1770
1995/07/09,7203,1880
1995/07/16,7203,1860
1995/07/23,7203,1830
1995/07/30,7203,1830
1995/08/06,7203,1840
1995/08/13,7203,1950
1995/08/20,7203,1910
1995/08/27,7203,1920
1995/09/03,7203,1890
1995/09/10,7203,1910
1995/09/17,7203,1790
1995/09/24,7203,1890
1995/10/01,7203,1930
1995/10/08,7203,1880
1995/10/15,7203,1920
1995/10/22,7203,1860
1995/10/29,7203,1920
1995/11/05,7203,1950
1995/11/12,7203,1960
1995/11/19,7203,1980
1995/11/26,7203,2020
1995/12/03,7203,2050
1995/12/10,7203,2110
1995/12/17,7203,2160
1995/12/24,7203,2190
1995/12/31,7203,2290
1996/01/07,7203,2210
1996/01/14,7203,2270
1996/01/21,7203,2270
1996/01/28,7203,2310
1996/02/04,7203,2300
1996/02/11,7203,2320
1996/02/18,7203,2250
1996/02/25,7203,2260
1996/03/03,7203,2210
1996/03/10,7203,2250
1996/03/17,7203,2330
1996/03/24,7203,2360
1996/03/31,7203,2350
1996/04/07,7203,2350
1996/04/14,7203,2360
1996/04/21,7203,2380
1996/04/28,7203,2370
1996/05/05,7203,2340
1996/05/12,7203,2370
1996/05/19,7203,2400
1996/05/26,7203,2470
1996/06/02,7203,2500
1996/06/09,7203,2590
1996/06/16,7203,2700
1996/06/23,7203,2740
1996/06/30,7203,2710
1996/07/07,7203,2590
1996/07/14,7203,2530
1996/07/21,7203,2540
1996/07/28,7203,2670
1996/08/04,7203,2620
1996/08/11,7203,2610
1996/08/18,7203,2700
1996/08/25,7203,2620
1996/09/01,7203,2640
1996/09/08,7203,2720
1996/09/15,7203,2780
1996/09/22,7203,2850
1996/09/29,7203,2760
1996/10/06,7203,2700
1996/10/13,7203,2800
1996/10/20,7203,2690
1996/10/27,7203,2740
1996/11/03,7203,2840
1996/11/10,7203,2850
1996/11/17,7203,2980
1996/11/24,7203,3110
1996/12/01,7203,3180
1996/12/08,7203,3140
1996/12/15,7203,3230
1996/12/22,7203,3320
1996/12/29,7203,3330
1997/01/05,7203,3080
1997/01/12,7203,3220
1997/01/19,7203,3240
1997/01/26,7203,3130
1997/02/02,7203,3160
1997/02/09,7203,3440
1997/02/16,7203,3300
1997/02/23,7203,3090
1997/03/02,7203,3080
1997/03/09,7203,3110
1997/03/16,7203,3130
1997/03/23,7203,3110
1997/03/30,7203,3160
1997/04/06,7203,3400
1997/04/13,7203,3350
1997/04/20,7203,3590
1997/04/27,7203,3810
1997/05/04,7203,3820
1997/05/11,7203,3570
1997/05/18,7203,3420
1997/05/25,7203,3340
1997/06/01,7203,3410
1997/06/08,7203,3380
1997/06/15,7203,3350
1997/06/22,7203,3330
1997/06/29,7203,3280
1997/07/06,7203,3310
1997/07/13,7203,3430
1997/07/20,7203,3560
1997/07/27,7203,3510
1997/08/03,7203,3310
1997/08/10,7203,3350
1997/08/17,7203,3050
1997/08/24,7203,3150
1997/08/31,7203,3330
1997/09/07,7203,3320
1997/09/14,7203,3570
1997/09/21,7203,3640
1997/09/28,7203,3700
1997/10/05,7203,3680
